Quantity,Reference,Value,PCB Footprint,Part Number,Manufacturer,Description,Alternative Part No,Alternative Manufacturer
2.0,"C1,C5",47NF,C0603,C0603C473K4RECAUTO,KEMET,CAP CER 0603 47NF 16V X7R 10%,,
4.0,"C2,C3,C4,C6",4.7NF,,,,,,
1.0,C7,1UF,,C0603C105K4RAC7867,,CAP CER 1UF 16V X7R 0603,,
,,,,CL10A105KA8NNNC,Samsung Electro-Mechanics,CAP CER 1UF 25V X5R 0603,"C0603C105K4RAC7867, CL10A105KA8NNNC","KEMET, Samsung Electro-Mechanics"
,C8,0.1UF,,CL10B104KB8NNNL,,CAP CER 0.1UF 50V X7R 0603,,
,J1,CON6,BERG_1X6P_254MM_THR,,,,,
,J2,CON3,BERG_1X3P_254MM_THR,PPPC031LFBN-RC,Sullins Connector Solutions,"3 Position Header Connector 0.100"" (2.54mm) Through Hole Gold",,
,,,,KLS1-208-1-03-S-A,KLSELE,2.54mm Pitch Female Header Connector Height 8.5mm 3 terminal,"PPPC031LFBN-RC, KLS1-208-1-03-S-A, PPTC031LFBN-RC","Sullins Connector Solutions, KLSELE"
,,,,PPTC031LFBN-RC,,"3 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",,
,"R1,R2,R5,R6",499,R0603,,,,,
,"R3,R8",4.7K,,RMCF0603FT4K70,Stackpole Electronics Inc,RES 4.7K OHM 1% 1/10W 0603,,
,,,,AF0603JR-074K7L,YAGEO,RES SMD 4.7K OHM 5% 1/10W 0603,"RMCF0603FT4K70, AF0603JR-074K7L","Stackpole Electronics Inc, YAGEO"
,R9,10K,,CRCW060310K0JNEBC,Vishay Dale,RES 10K OHM 5% 1/10W 0603,,
,,,,RNCP0603FTD10K0,,RES 10K OHM 1% 1/8W 0603,"CRCW060310K0JNEBC, RNCP0603FTD10K0, CRCW060310K0JNEB","Vishay Dale, Stackpole Electronics Inc"
,,,,CRCW060310K0JNEB,,RES SMD 10K OHM 5% 1/10W 0603,,
,U1,TLA2024IRUGR,RUG10_TEX,,,,,
